track_id,frame,x,y
5,267,184,204
6,268,513,218
8,269,140,214
10,270,184,201
13,271,135,215
15,272,616,201
18,273,143,215
1,274,-22,203
2,275,177,204
3,276,541,207
4,277,530,208
5,278,184,204
6,279,513,218
8,280,140,214
10,281,184,201
13,282,134,215
15,283,617,200
18,284,143,215
1,285,-25,202
2,286,171,204
3,287,541,207
4,288,531,208
5,289,185,204
6,290,513,217
8,291,140,214
10,292,183,201
13,293,134,215
15,294,616,201
18,295,143,215
1,296,-28,203
2,297,164,204
3,298,541,208
4,299,531,208
5,300,185,204
6,301,513,218
8,302,140,215
10,303,183,202
13,304,134,215
15,305,615,201
18,306,137,215
1,307,-31,202
2,308,159,204
3,309,541,208
4,310,530,208
5,311,185,204
6,312,513,218
8,313,140,215
10,314,183,202
13,315,133,215
15,316,611,200
18,317,137,215
1,318,-35,202
2,319,153,204
3,320,541,208
4,321,530,208
5,322,185,204
6,323,513,217
8,324,140,215
10,325,184,202
13,326,133,215
15,327,605,201
18,328,136,214
1,329,-38,202
2,330,150,205
3,331,541,208
4,332,531,209
5,333,183,205
6,334,513,218
8,335,140,215
10,336,184,196
13,337,133,215
15,338,601,202
18,339,136,214
20,340,622,192
1,341,-42,201
2,342,147,205
3,343,540,208
4,344,532,209
5,345,183,206
6,346,513,218
8,347,140,215
10,348,183,195
13,349,132,215
15,350,593,202
18,351,135,214
20,352,621,191
21,353,513,218
1,354,-45,202
2,355,141,206
3,356,540,208
4,357,534,209
5,358,183,206
6,359,513,218
8,360,140,215
10,361,183,195
13,362,132,215
15,363,587,202
18,364,134,214
20,365,620,180
21,366,513,218
1,367,-49,201
2,368,137,206
3,369,540,208
4,370,536,209
5,371,183,206
6,372,513,219
8,373,140,215
10,374,183,196
13,375,131,215
15,376,583,202
18,377,134,214
20,378,620,177
21,379,513,218
1,380,-52,201
2,381,133,207
3,382,539,208
4,383,533,209
5,384,183,206
6,385,513,219
8,386,140,215
10,387,183,195
13,388,131,215
15,389,582,204
18,390,133,214
20,391,615,187
21,392,512,218
1,393,-55,201
2,394,130,208
3,395,539,208
