track_id,frame,center_x,center_y
13,289,78,443
2,290,436,340
13,290,78,443
2,291,436,340
13,291,78,443
2,292,437,338
13,292,78,443
2,293,437,338
13,293,78,443
2,294,437,339
13,294,78,443
2,295,437,339
13,295,78,443
2,296,437,339
13,296,78,443
2,297,438,339
13,297,78,443
2,298,438,339
13,298,78,443
2,299,438,339
13,299,78,443
2,300,438,339
13,300,79,443
2,301,437,339
13,301,79,443
2,302,436,339
13,302,79,443
2,303,437,339
13,303,79,443
2,304,438,340
13,304,79,443
2,305,439,340
13,305,79,443
2,306,437,338
13,306,79,443
2,307,437,337
13,307,79,443
2,308,437,338
13,308,79,443
2,309,438,339
13,309,79,443
2,310,438,339
13,310,79,443
2,311,437,340
13,311,79,443
2,312,438,340
13,312,79,443
2,313,437,339
13,313,79,443
2,314,436,338
13,314,79,443
2,315,436,338
13,315,79,443
2,316,436,338
13,316,79,443
2,317,437,338
13,317,79,443
2,318,438,338
13,318,79,443
2,319,438,338
13,319,79,443
2,320,437,338
13,320,78,443
2,321,437,338
13,321,78,443
2,322,437,338
13,322,78,443
2,323,436,338
13,323,78,443
2,324,436,338
13,324,78,443
2,325,437,339
13,325,78,443
2,326,437,339
13,326,78,443
2,327,437,339
13,327,78,443
2,328,437,339
13,328,78,443
2,329,437,339
13,329,79,443
2,330,437,339
13,330,79,442
2,331,438,339
13,331,79,442
2,332,438,339
13,332,79,442
2,333,438,338
13,333,79,442
2,334,438,338
13,334,79,442
2,335,438,338
13,335,79,442
2,336,438,338
13,336,79,442
2,337,438,338
13,337,80,442
2,338,438,338
13,338,80,442
2,339,438,338
13,339,80,442
2,340,438,338
13,340,80,442
2,341,437,338
13,341,80,442
2,342,437,339
13,342,80,442
2,343,436,339
13,343,80,442
2,344,435,339
13,344,80,442
2,345,435,340
13,345,80,442
2,346,435,340
13,346,80,442
2,347,435,341
13,347,80,442
2,348,436,342
13,348,80,442
2,349,435,343
13,349,80,442
2,350,435,344
13,350,80,442
2,351,436,345
13,351,80,442
2,352,437,346
13,352,80,442
2,353,437,348
13,353,80,442
2,354,437,349
13,354,80,442
2,355,438,350
13,355,80,442
2,356,437,351
13,356,78,442
2,357,436,352
13,357,78,443
2,358,435,353
13,358,78,443
2,359,434,353
13,359,78,443
2,360,433,353
13,360,78,443
2,361,432,353
13,361,78,443
2,362,433,353
13,362,78,443
2,363,433,353
13,363,78,443
2,364,433,353
13,364,78,443
2,365,434,353
13,365,78,443
2,366,434,353
13,366,78,443
2,367,435,353
13,367,78,443
2,368,435,353
13,368,78,443
2,369,435,353
13,369,78,443
2,370,436,353
13,370,78,443
2,371,437,353
13,371,78,443
2,372,437,353
13,372,78,443
2,373,438,353
13,373,78,443
2,374,435,353
13,374,78,443
2,375,435,353
13,375,78,443
2,376,432,353
13,376,78,443
2,377,430,354
13,377,78,443
2,378,430,354
13,378,78,443
2,379,430,354
13,379,78,443
2,380,432,354
13,380,77,443
2,381,433,354
13,381,77,443
2,382,433,354
13,382,77,443
2,383,433,354
13,383,78,443
2,384,433,354
13,384,78,443
2,385,433,353
13,385,78,443
2,386,432,353
13,386,78,443
2,387,432,353
2,388,430,353
2,389,430,353
2,390,430,353
2,391,431,353
2,392,430,353
2,393,431,354
2,394,430,354
2,395,430,354
2,396,429,354
2,397,428,354
2,398,427,353
2,399,426,353
2,400,425,353
2,401,424,353
2,402,424,353
2,403,424,353
2,404,425,353
2,405,426,353
2,406,425,353
2,407,425,353
2,408,424,353
2,409,424,353
2,410,424,353
2,411,425,351
2,412,426,351
2,413,425,348
2,414,425,345
2,415,426,343
2,416,426,342
2,417,427,341
2,418,427,341
2,419,426,340
2,420,426,340
2,421,425,340
2,422,426,340
2,423,426,340
2,424,426,340
2,425,426,339
2,426,426,339
2,427,428,339
2,428,427,339
2,429,427,339
2,430,426,338
2,431,425,339
2,432,424,339
2,433,425,339
2,434,426,338
2,435,426,338
2,436,427,339
2,437,429,339
2,438,430,339
2,439,432,339
2,440,432,339
2,441,432,339
2,442,430,340
2,443,430,340
2,444,429,340
2,445,429,340
2,446,429,341
2,447,430,341
2,448,431,341
2,449,433,340
2,450,434,341
2,451,436,341
2,452,437,342
2,453,438,343
2,454,438,343
2,455,439,344
2,456,439,343
2,457,440,344
2,458,442,343
2,459,442,342
2,460,442,341
2,461,442,342
2,462,441,341
2,463,441,342
2,464,440,342
2,465,439,342
2,466,439,342
2,467,439,342
2,468,439,342
2,469,439,342
2,470,440,341
2,471,440,341
2,472,441,341
2,473,441,341
2,474,440,341
2,475,440,341
2,476,440,341
2,477,440,341
2,478,440,341
2,479,440,341
2,480,440,341
2,481,440,340
2,482,440,341
2,483,440,341
2,484,438,341
2,485,438,341
2,486,437,341
2,487,435,341
2,488,436,340
2,489,435,340
2,490,437,341
2,491,438,341
2,492,438,341
2,493,438,341
2,494,438,341
2,495,441,341
2,496,441,341
2,497,442,341
2,498,442,341
2,499,442,341
2,500,442,341
2,501,442,341
2,502,442,341
2,503,442,341
2,504,442,341
2,505,442,341
2,506,443,341
2,507,443,341
2,508,442,340
2,509,442,341
2,510,443,340
2,511,443,340
2,512,444,340
2,513,443,340
2,514,442,340
2,515,442,340
2,516,443,340
2,517,443,340
2,518,443,340
2,519,443,340
2,520,443,340
2,521,444,341
2,522,444,341
2,523,444,341
2,524,444,341
2,525,444,341
2,526,444,341
2,527,443,341
2,528,443,341
2,529,444,341
2,530,443,341
2,531,443,341
2,532,444,341
2,533,445,341
2,534,445,341
2,535,444,341
2,536,443,341
2,537,443,341
2,538,443,341
2,539,443,340
2,540,443,340
2,541,444,341
2,542,444,341
2,543,444,340
2,544,443,341
2,545,444,341
2,546,444,341
2,547,444,341
2,548,443,340
2,549,443,341
2,550,443,341
2,551,444,341
2,552,443,340
2,553,443,341
2,554,443,341
2,555,443,341
2,556,443,341
2,557,443,341
2,558,443,341
2,559,443,341
2,560,443,341
2,561,443,341
2,562,443,341
2,563,443,341
2,564,443,340
2,565,443,340
2,566,444,340
2,567,443,340
2,568,443,341
2,569,443,341
2,570,443,341
2,571,443,341
2,572,444,341
2,573,443,340
2,574,444,340
2,575,444,340
2,576,444,340
2,577,444,340
2,578,444,341
2,579,444,341
2,580,444,341
2,581,443,341
2,582,443,341
2,583,443,340
2,584,444,340
2,585,444,340
2,586,443,341
2,587,443,341
2,588,443,341
2,589,443,340
2,590,442,341
2,591,442,341
2,592,443,341
2,593,443,341
2,594,444,341
2,595,444,340
2,596,444,340
2,597,444,340
2,598,444,341
2,599,444,341
2,600,443,340
2,601,443,340
2,602,443,340
2,603,443,339
2,604,442,339
2,605,442,339
2,606,442,339
2,607,442,339
2,608,442,338
2,609,441,338
2,610,441,338
2,611,441,338
2,612,441,338
2,613,441,337
2,614,441,337
2,615,441,338
2,616,441,338
2,617,442,338
2,618,441,338
2,619,441,338
2,620,441,339
2,621,441,339
2,622,440,339
2,623,440,339
2,624,439,339
2,625,440,339
2,626,440,339
2,627,439,339
2,628,439,339
2,629,442,340
2,630,443,340
2,631,442,340
2,632,442,340
2,633,442,340
2,634,443,339
2,635,443,339
2,636,443,339
2,637,443,339
2,638,443,339
2,639,442,339
2,640,442,339
2,641,441,339
2,642,441,339
2,643,440,339
2,644,441,339
2,645,440,339
2,646,439,339
2,647,439,339
2,648,439,339
2,649,441,338
2,650,441,338
2,651,440,338
2,652,439,338
2,653,439,337
2,654,438,338
2,655,437,338
2,656,436,338
2,657,435,338
2,658,435,338
2,659,433,338
2,660,431,338
2,661,431,339
2,662,431,339
2,663,430,339
2,664,430,339
2,665,431,339
2,666,430,339
2,667,429,339
2,668,428,339
2,669,427,340
2,670,426,340
2,671,426,340
2,672,427,340
2,673,427,340
2,674,427,340
2,675,426,340
2,676,426,340
2,677,427,340
2,678,426,340
2,679,426,340
2,680,425,340
2,681,425,340
2,682,426,340
2,683,427,340
2,684,427,340
2,685,427,340
2,686,427,340
2,687,427,340
2,688,428,340
2,689,428,339
2,690,428,340
2,691,428,339
2,692,429,340
2,693,429,340
2,694,429,340
2,695,429,340
2,696,428,340
2,697,429,340
2,698,430,340
2,699,430,340
2,700,429,341
2,701,429,341
2,702,428,341
2,703,427,342
2,704,428,342
2,705,430,343
2,706,430,344
2,707,430,344
2,708,430,345
2,709,430,345
2,710,430,345
2,711,430,346
2,712,429,347
2,713,429,347
2,714,430,347
2,715,430,347
2,716,429,348
2,717,430,348
2,718,430,348
2,719,431,348
2,720,434,348
2,721,435,348
2,722,435,348
2,723,436,348
2,724,436,348
2,725,434,348
2,726,432,348
2,727,431,348
2,728,430,347
2,729,429,347
2,730,428,347
2,731,428,347
2,732,427,347
2,733,427,346
2,734,426,346
2,735,426,346
2,736,424,347
2,737,423,348
2,738,423,348
2,739,422,349
2,740,421,350
2,741,415,351
2,742,432,352
2,743,433,352
2,744,434,353
17,744,324,354
2,745,435,353
17,745,321,353
2,746,436,353
17,746,320,353
2,747,404,353
17,747,318,353
2,748,406,352
17,748,316,353
2,749,415,351
17,749,328,353
2,750,418,351
17,750,329,353
2,751,418,350
17,751,322,354
2,752,417,351
17,752,359,355
2,753,417,350
17,753,373,355
2,754,438,352
17,754,379,355
2,755,432,351
17,755,385,355
2,756,435,350
17,756,391,355
2,757,435,350
17,757,396,355
2,758,439,348
17,758,402,355
2,759,440,347
17,759,408,355
2,760,443,346
17,760,413,355
2,761,444,344
17,761,419,356
2,762,445,344
17,762,425,356
2,763,445,343
17,763,430,356
2,764,444,343
17,764,436,356
2,765,444,342
17,765,442,356
2,766,444,342
17,766,448,356
2,767,442,342
17,767,454,357
2,768,442,341
17,768,459,357
2,769,441,341
17,769,465,357
2,770,440,342
17,770,471,357
2,771,442,341
17,771,476,357
2,772,443,340
17,772,482,357
2,773,443,341
17,773,488,357
2,774,444,342
17,774,493,358
2,775,444,341
17,775,499,358
2,776,442,341
17,776,505,358
2,777,441,341
17,777,511,358
2,778,443,342
17,778,517,358
2,779,444,342
17,779,522,358
2,780,444,342
17,780,528,359
2,781,444,342
17,781,534,359
2,782,444,342
17,782,539,359
2,783,444,342
17,783,545,359
2,784,445,343
2,785,445,343
2,786,445,343
2,787,444,343
2,788,443,343
2,789,444,342
2,790,444,342
2,791,445,342
2,792,445,342
2,793,445,342
2,794,445,342
2,795,446,343
2,796,447,343
2,797,447,343
2,798,446,343
2,799,447,343
2,800,447,343
2,801,447,342
2,802,447,342
2,803,447,342
2,804,447,342
2,805,447,342
2,806,447,342
2,807,447,342
2,808,447,343
2,809,447,342
2,810,447,342
2,811,447,343
2,812,447,343
2,813,447,343
2,814,447,343
2,815,447,343
2,816,447,342
2,817,446,342
2,818,447,341
2,819,448,341
2,820,446,342
2,821,446,343
2,822,447,343
2,823,447,343
2,824,448,343
2,825,448,343
2,826,448,343
2,827,448,343
2,828,448,343
2,829,448,342
2,830,447,343
2,831,448,343
2,832,448,343
2,833,447,342
2,834,447,342
2,835,448,343
2,836,448,343
2,837,447,343
2,838,446,343
2,839,446,342
2,840,446,342
2,841,447,342
2,842,447,342
2,843,447,342
2,844,447,341
2,845,447,342
2,846,446,343
2,847,446,343
2,848,447,343
2,849,447,343
2,850,447,343
2,851,447,343
2,852,447,343
2,853,447,343
2,854,447,342
2,855,447,342
2,856,447,342
2,857,447,342
2,858,446,342
2,859,447,342
2,860,448,342
2,861,448,341
2,862,446,341
2,863,446,341
2,864,447,341
2,865,447,341
2,866,447,341
2,867,447,341
2,868,448,341
2,869,448,341
2,870,447,342
2,871,447,342
2,872,448,341
2,873,447,342
2,874,447,341
2,875,447,341
2,876,447,342
2,877,447,343
2,878,447,342
2,879,446,342
2,880,447,342
2,881,447,342
2,882,447,342
2,883,447,342
2,884,446,342
2,885,446,342
2,886,447,342
2,887,447,342
2,888,446,342
2,889,446,342
2,890,447,342
2,891,446,342
2,892,447,342
2,893,448,342
2,894,448,342
2,895,447,341
2,896,446,342
2,897,446,342
2,898,447,342
2,899,447,341
2,900,447,341
2,901,447,341
2,902,446,342
2,903,446,342
2,904,447,342
2,905,447,342
2,906,445,341
2,907,445,341
2,908,444,341
2,909,444,341
2,910,446,342
2,911,446,341
2,912,447,342
2,913,447,342
2,914,447,342
2,915,447,342
2,916,447,342
2,917,447,342
2,918,447,342
2,919,447,342
2,920,447,342
2,921,447,341
2,922,447,340
2,923,448,342
2,924,447,341
2,925,447,340
2,926,447,342
2,927,446,342
2,928,447,341
2,929,448,341
2,930,448,341
2,931,448,341
2,932,447,341
2,933,447,341
2,934,447,341
2,935,447,341
2,936,447,341
2,937,447,341
2,938,448,342
2,939,448,342
2,940,447,342
2,941,448,342
2,942,447,341
2,943,446,340
2,944,446,340
2,945,447,340
2,946,447,340
2,947,447,341
2,948,447,341
2,949,447,341
2,950,448,342
2,951,447,342
2,952,446,341
2,953,447,341
2,954,447,341
2,955,447,341
2,956,447,342
2,957,447,342
2,958,447,342
2,959,447,342
2,960,447,340
2,961,447,340
2,962,447,340
2,963,447,340
2,964,447,341
2,965,447,342
2,966,447,342
2,967,447,342
2,968,447,342
2,969,448,341
2,970,446,340
2,971,447,341
2,972,447,341
2,973,447,341
2,974,448,341
2,975,448,342
2,976,448,342
2,977,448,342
2,978,448,343
2,979,447,342
2,980,447,341
2,981,447,341
2,982,447,341
2,983,448,341
2,984,448,341
2,985,448,341
2,986,448,341
2,987,447,341
2,988,447,341
2,989,448,342
2,990,448,342
2,991,448,343
2,992,448,343
2,993,448,343
2,994,448,343
2,995,447,342
2,996,447,341
2,997,447,342
2,998,447,342
2,999,447,343
2,1000,447,341
2,1001,446,341
2,1002,446,341
2,1003,447,342
2,1004,447,343
2,1005,447,343
2,1006,448,342
2,1007,447,341
2,1008,448,341
2,1009,447,341
2,1010,446,340
2,1011,447,340
2,1012,446,340
2,1013,445,339
2,1014,444,339
2,1015,442,340
2,1016,442,340
2,1017,443,340
2,1018,442,340
2,1019,443,340
2,1020,443,340
2,1021,445,340
2,1022,446,340
2,1023,445,340
2,1024,444,340
2,1025,443,339
2,1026,442,339
2,1027,445,338
2,1028,446,338
2,1029,446,338
2,1030,446,338
2,1031,446,338
2,1032,447,338
2,1033,447,338
2,1034,447,338
2,1035,447,338
2,1036,446,338
2,1037,447,338
2,1038,446,338
2,1039,446,338
2,1040,446,338
2,1041,447,339
2,1042,447,339
2,1043,447,339
2,1044,447,339
2,1045,447,339
2,1046,447,339
2,1047,447,339
2,1048,448,339
2,1049,448,340
2,1050,447,340
2,1051,448,339
2,1052,448,339
2,1053,448,340
2,1054,448,340
2,1055,448,340
2,1056,448,340
2,1057,448,341
2,1058,448,341
2,1059,448,341
2,1060,448,341
2,1061,448,341
2,1062,448,341
2,1063,448,342
2,1064,448,342
2,1065,448,342
2,1066,449,342
2,1067,450,341
2,1068,451,341
2,1069,451,341
2,1070,452,341
2,1071,451,341
2,1072,452,340
2,1073,453,339
2,1074,454,339
2,1075,455,339
2,1076,455,339
2,1077,455,339
2,1078,455,339
2,1079,455,339
2,1080,456,339
2,1081,457,340
2,1082,457,339
2,1083,458,339
2,1084,460,339
2,1085,460,339
2,1086,461,337
2,1087,461,337
2,1088,462,339
2,1089,463,339
2,1090,463,339
2,1091,464,340
2,1092,463,340
2,1093,464,341
2,1094,464,341
2,1095,464,341
2,1096,464,341
2,1097,463,340
2,1098,463,340
2,1099,464,341
2,1100,464,341
2,1101,463,342
2,1102,463,342
2,1103,462,341
2,1104,462,341
2,1105,462,341
2,1106,460,340
2,1107,458,341
2,1108,457,342
2,1109,455,342
2,1110,454,340
2,1111,454,340
2,1112,450,341
2,1113,450,341
2,1114,450,341
2,1115,450,341
2,1116,450,341
2,1117,449,341
2,1118,449,341
2,1119,450,341
2,1120,451,341
2,1121,452,341
2,1122,454,341
2,1123,455,341
2,1124,455,340
2,1125,457,340
2,1126,458,340
2,1127,459,340
2,1128,459,340
2,1129,460,341
2,1130,461,341
2,1131,461,341
2,1132,461,341
2,1133,462,340
2,1134,462,339
2,1135,462,339
2,1136,462,339
2,1137,462,339
2,1138,462,339
2,1139,461,342
2,1140,460,344
2,1141,459,345
2,1142,457,346
2,1143,457,346
2,1144,455,346
2,1145,451,343
2,1146,448,340
2,1147,447,338
2,1148,443,337
2,1149,441,336
2,1150,439,333
2,1151,436,330
2,1152,434,327
2,1153,433,326
2,1154,433,324
2,1155,432,324
2,1156,432,324
2,1157,432,323
2,1158,430,322
2,1159,429,321
2,1160,430,319
2,1161,430,319
2,1162,430,315
2,1163,430,314
2,1164,428,309
2,1165,426,308
2,1166,426,307
2,1167,425,305
2,1168,422,306
2,1169,421,305
2,1170,420,304
2,1171,419,305
2,1172,419,305
2,1173,420,306
2,1174,421,306
2,1175,421,307
2,1176,422,310
2,1177,423,311
2,1178,424,311
2,1179,425,313
2,1180,426,314
2,1181,428,315
2,1182,429,316
2,1183,429,316
2,1184,429,317
2,1185,429,317
2,1186,430,316
2,1187,430,315
